"Source:","C:\Users\HPz420\Documents\GitHub\land-boards\lb-boards\I2C Cards\I2CIO-8\I2CIO-8.kicad_sch"
"Date:","5/16/2022 8:15:22 AM"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","31"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","0.1uF","I2CIO-8-rescue:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","D0","LED-fixed","I2CIO-8-rescue:LED-fixed","LEDs:LED-3MM",""
"","","D1","LED-fixed","I2CIO-8-rescue:LED-fixed","LEDs:LED-3MM",""
"","","D2","LED-fixed","I2CIO-8-rescue:LED-fixed","LEDs:LED-3MM",""
"","","D3","LED-fixed","I2CIO-8-rescue:LED-fixed","LEDs:LED-3MM",""
"","","D9","LED-fixed","I2CIO-8-rescue:LED-fixed","LEDs:LED-3MM",""
"","","H1","Conn_02x02_Odd_Even","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~"
"","","H2","CONN_02X03","I2CIO-8-rescue:CONN_02X03","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"","","H3","CONN_02X04","I2CIO-8-rescue:CONN_02X04","Pin_Headers:Pin_Header_Straight_2x04",""
"","","J1","Conn_02x05_Odd_Even","Connector_Generic:Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Horizontal","~"
"","","MTG1","MTG_HOLE","LandBoards:MTG_HOLE","LandBoards_MountHoles:MTG-4-40",""
"","","MTG2","MTG_HOLE","LandBoards:MTG_HOLE","LandBoards_MountHoles:MTG-4-40",""
"","","MTG3","MTG_HOLE","LandBoards:MTG_HOLE","LandBoards_MountHoles:MTG-4-40",""
"","","MTG4","MTG_HOLE","LandBoards:MTG_HOLE","LandBoards_MountHoles:MTG-4-40",""
"","","R1","3.3K","I2CIO-8-rescue:R","Resistors_SMD:R_0805_HandSoldering",""
"","","R2","3.3K","I2CIO-8-rescue:R","Resistors_SMD:R_0805_HandSoldering",""
"","","R3","10K","I2CIO-8-rescue:R","Resistors_SMD:R_0805_HandSoldering",""
"","","R4","10K","I2CIO-8-rescue:R","Resistors_SMD:R_0805_HandSoldering",""
"","","R5","10K","I2CIO-8-rescue:R","Resistors_SMD:R_0805_HandSoldering",""
"","","R6","10K","I2CIO-8-rescue:R","Resistors_SMD:R_0805_HandSoldering",""
"","","R7","1K","I2CIO-8-rescue:R","Resistors_SMD:R_0805_HandSoldering",""
"","","R8","1K","I2CIO-8-rescue:R","Resistors_SMD:R_0805_HandSoldering",""
"","","R9","1K","I2CIO-8-rescue:R","Resistors_SMD:R_0805_HandSoldering",""
"","","R10","1K","I2CIO-8-rescue:R","Resistors_SMD:R_0805_HandSoldering",""
"","","R11","1K","I2CIO-8-rescue:R","Resistors_SMD:R_0805_HandSoldering",""
"","","R12","10K","I2CIO-8-rescue:R","Resistors_SMD:R_0805_HandSoldering",""
"","","R13","10K","I2CIO-8-rescue:R","Resistors_SMD:R_0805_HandSoldering",""
"","","R14","10K","I2CIO-8-rescue:R","Resistors_SMD:R_0805_HandSoldering",""
"","","R15","10K","I2CIO-8-rescue:R","Resistors_SMD:R_0805_HandSoldering",""
"","","TEST1","TEST","I2CIO-8-rescue:COUPON","DougsNewMods:TEST_BLK-REAR",""
"","","U1","MCP23008P","I2CIO-8-rescue:MCP23008P","Housings_DIP:DIP-18_W7.62mm_LongPads",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","0.1uF","I2CIO-8-rescue:C","Capacitors_SMD:C_0805_HandSoldering",""
"2","5","D0, D1, D2, D3, D9","LED-fixed","I2CIO-8-rescue:LED-fixed","LEDs:LED-3MM",""
"3","1","H1","Conn_02x02_Odd_Even","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~"
"4","1","H2","CONN_02X03","I2CIO-8-rescue:CONN_02X03","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"5","1","H3","CONN_02X04","I2CIO-8-rescue:CONN_02X04","Pin_Headers:Pin_Header_Straight_2x04",""
"6","1","J1","Conn_02x05_Odd_Even","Connector_Generic:Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Horizontal","~"
"7","4","MTG1, MTG2, MTG3, MTG4","MTG_HOLE","LandBoards:MTG_HOLE","LandBoards_MountHoles:MTG-4-40",""
"8","2","R1, R2","3.3K","I2CIO-8-rescue:R","Resistors_SMD:R_0805_HandSoldering",""
"9","8","R3, R4, R5, R6, R12, R13, R14, R15","10K","I2CIO-8-rescue:R","Resistors_SMD:R_0805_HandSoldering",""
"10","5","R7, R8, R9, R10, R11","1K","I2CIO-8-rescue:R","Resistors_SMD:R_0805_HandSoldering",""
"11","1","TEST1","TEST","I2CIO-8-rescue:COUPON","DougsNewMods:TEST_BLK-REAR",""
"12","1","U1","MCP23008P","I2CIO-8-rescue:MCP23008P","Housings_DIP:DIP-18_W7.62mm_LongPads",""
