GP,FUNCTION,PICO PIN,,GP,FUNCTION,PICO PIN
GP0,I2C1_INT (MCP23017),1,,GP16,VGA_HSYNC,21
GP1,SPARE GPIO,2,,GP17,VGA_VSYNC,22
GP2,SPARE GPIO,4,,GP18,VGA_BLU,24
GP3,SPARE GPIO,5,,GP19,VGA_GRN_LO,25
GP4,SPARE GPIO,6,,GP20,VGA_GRN_HI,26
GP5,SPARE GPIO,7,,GP21,VGA_RED,27
GP6,AUDIO-L,9,,GP22,SPARE GPIO,29
GP7,AUDIO-R,10,,GP26,SPARE GPIO,31
GP8,PS2_CLK,11,,GP27,SPARE GPIO,32
GP9,PS2_DATA,12,,GP28,SPARE GPIO,34
GP10,SD_SCK,14,,3.3V,POWER_3.3V,36
GP11,SD_MOSI,15,,VSYS,PS2_5V,39
GP12,SD_MISO,16,,,,
GP13,SD_SLVSEL,17,,,,
GP14,I2C1_SDA (MCP23017),19,,,,
GP15,I2C1_SCL (MCP23017),20,,,,
