OpAmp,Ax-/Ix-,Ax+/Ix+,Ax-/Qx,Ax-/Gnd,Ax+/Gnd
U1A,R1,R2,R3,R4,R5
U1B,R6,R7,R8,R10,R9
U1C,R11,R12,R13,R14,R15
U1D,R16,R17,R18,R20,R19
U2A,R23,R24,R25,R21,R22
U2B,R28,R29,R30,R27,R26
U2C,R33,R34,R35,R31,R32
U2D,R38,R39,R40,R37,R36
